"ID","CLIENT_ID","OPERATION_NAME","START_TIME","END_TIME","EXCEPTION_DETAIL"
1082676753,"SFDC","GetCompanyMatches","2015-02-04T02:19:02.629Z","2015-02-04T02:19:17.517Z",""
1082676871,"SFDC","SubmitCustomerApplication","2015-02-04T02:19:31.015Z","2015-02-04T02:19:48.892Z",""
1082682000,"SFDC","SubmitCustomerApplication","2015-02-04T02:44:02.401Z","2015-02-04T02:44:31.709Z",""
1082682411,"SFDC","GenerateAndUpdateDocuments","2015-02-04T02:46:30.094Z","2015-02-04T02:46:30.477Z",""
1082688147,"SFDC","GetCompanyMatches","2015-02-04T03:13:55.517Z","2015-02-04T03:14:07.546Z",""
1082688297,"SFDC","SubmitCustomerApplication","2015-02-04T03:14:20.000Z","2015-02-04T03:14:36.052Z",""
1082690032,"SFDC","GetCompanyMatches","2015-02-04T03:22:15.324Z","2015-02-04T03:22:26.751Z",""
1082690078,"SFDC","SubmitCustomerApplication","2015-02-04T03:22:35.419Z","2015-02-04T03:22:52.421Z",""
1082691105,"SFDC","SubmitCustomerApplication","2015-02-04T03:27:05.880Z","2015-02-04T03:27:33.245Z",""
1082691149,"SFDC","GenerateAndUpdateDocuments","2015-02-04T03:27:44.738Z","2015-02-04T03:27:45.309Z",""
1082691532,"SFDC","GenerateAndUpdateDocuments","2015-02-04T03:29:28.393Z","2015-02-04T03:29:28.869Z",""
1082695481,"SFDC","GetCompanyMatches","2015-02-04T03:44:35.878Z","2015-02-04T03:44:49.203Z",""
1082695633,"SFDC","GetCompanyMatches","2015-02-04T03:45:24.291Z","2015-02-04T03:45:27.283Z",""
1082695646,"SFDC","GetCompanyMatches","2015-02-04T03:45:41.859Z","2015-02-04T03:45:45.748Z",""
1082696073,"SFDC","GetCompanyMatches","2015-02-04T03:48:05.036Z","2015-02-04T03:48:09.490Z",""
1082696154,"SFDC","GetCompanyMatches","2015-02-04T03:48:24.384Z","2015-02-04T03:48:28.015Z",""
1082696195,"SFDC","SubmitCustomerApplication","2015-02-04T03:48:55.473Z","2015-02-04T03:49:01.909Z",""
1082696506,"SFDC","GetCompanyMatches","2015-02-04T03:50:25.483Z","2015-02-04T03:50:31.386Z",""
1082696608,"SFDC","GetCompanyMatches","2015-02-04T03:50:37.198Z","2015-02-04T03:50:45.522Z",""
1082696717,"SFDC","GetCompanyMatches","2015-02-04T03:50:52.836Z","2015-02-04T03:50:57.463Z",""
1082696771,"SFDC","GetCompanyMatches","2015-02-04T03:51:10.118Z","2015-02-04T03:51:14.712Z",""
1082696805,"SFDC","GetCompanyMatches","2015-02-04T03:51:20.545Z","2015-02-04T03:51:23.006Z",""
1082697079,"SFDC","GetCompanyMatches","2015-02-04T03:52:52.130Z","2015-02-04T03:52:55.178Z",""
1082697804,"SFDC","GetCompanyMatches","2015-02-04T03:53:52.591Z","2015-02-04T03:53:56.378Z",""
1082697857,"SFDC","GenerateAndUpdateDocuments","2015-02-04T03:54:07.317Z","2015-02-04T03:54:07.851Z",""
1082698068,"SFDC","GetCompanyMatches","2015-02-04T03:54:53.544Z","2015-02-04T03:55:06.980Z",""
1082698192,"SFDC","GetCompanyMatches","2015-02-04T03:55:16.575Z","2015-02-04T03:55:20.416Z",""
1082698393,"SFDC","GetCompanyMatches","2015-02-04T03:56:08.736Z","2015-02-04T03:56:12.054Z",""
1082698463,"SFDC","GetCompanyMatches","2015-02-04T03:56:33.258Z","2015-02-04T03:56:37.841Z",""
1082698542,"SFDC","SubmitCustomerApplication","2015-02-04T03:56:39.127Z","2015-02-04T03:56:57.081Z",""
