timestamp,intervals,longRunning
2015-01-22 01:00:00,1,0
2015-01-22 01:00:01,1,0
2015-01-22 01:00:02,1,0
2015-01-22 01:00:03,1,0
2015-01-22 01:00:04,3,0
2015-01-22 01:00:05,4,0
2015-01-22 01:00:06,4,0
2015-01-22 01:00:07,3,0
2015-01-22 01:00:08,2,0
2015-01-22 01:00:09,1,1
2015-01-22 01:00:10,2,1
2015-01-22 01:00:11,2,0
2015-01-22 01:00:12,2,0
2015-01-22 01:00:13,2,0
2015-01-22 01:00:14,2,0
2015-01-22 01:00:15,3,1
2015-01-22 01:00:16,2,0
2015-01-22 01:00:17,4,0
2015-01-22 01:00:18,5,0
2015-01-22 01:00:19,6,1
2015-01-22 01:00:20,6,2
2015-01-22 01:00:21,7,2
2015-01-22 01:00:22,7,4
2015-01-22 01:00:23,7,5
2015-01-22 01:00:24,6,6
2015-01-22 01:00:25,5,5
2015-01-22 01:00:26,2,2
